date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1885,2,296763,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1885,2,296763,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,4,13.478769
1885,2,296763,tremblement,tremblement,Tremblement(s)?,42,141.527077
1886,3,434850,épilepsie,epilepsie,[EÉ]pilepsie(s)?,189,434.632632
1886,3,434850,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1886,3,434850,aphasie,aphasie,Aphasie(s)?,65,149.476831
1886,3,434850,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,1,2.299644
1886,3,434850,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1886,3,434850,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,26,59.790732
1886,3,434850,athétose,athetose,Athétose(s)?,17,39.09394
1886,3,434850,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,42,96.585029
1886,3,434850,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,12,27.595723
1886,3,434850,chorée,choree,Chorée(s)?,59,135.67897
1886,3,434850,clonus,clonus,Clonus,4,9.198574
1886,3,434850,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,8,18.397148
1886,3,434850,fugue,fugue,Fugue(s)?,0,0.0
1886,3,434850,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1886,3,434850,hypnose,hypnose,Hypnose(s)?,6,13.797861
1886,3,434850,hystérie,hysterie,Hystérie(s)?,146,335.747959
1886,3,434850,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,7,16.097505
1886,3,434850,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,1,2.299644
