date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1886,3,78236,chorée,choree,Chorée(s)?,14,178.945754
1886,3,78236,clonus,clonus,Clonus,0,0.0
1886,3,78236,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,61,779.692213
1886,3,78236,fugue,fugue,Fugue(s)?,0,0.0
1886,3,78236,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1886,3,78236,hypnose,hypnose,Hypnose(s)?,0,0.0
1886,3,78236,hystérie,hysterie,Hystérie(s)?,2,25.563679
1886,3,78236,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,4,51.127358
1886,3,78236,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1886,3,78236,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1886,3,78236,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1886,3,78236,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1886,3,78236,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1886,3,78236,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1886,3,78236,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1886,3,78236,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1886,3,78236,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1886,3,78236,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1886,3,78236,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1886,3,78236,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1886,3,78236,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
1886,3,78236,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1886,3,78236,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1886,3,78236,tremblement,tremblement,Tremblement(s)?,0,0.0
1887,3,425920,épilepsie,epilepsie,[EÉ]pilepsie(s)?,83,194.872276
1887,3,425920,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1887,3,425920,aphasie,aphasie,Aphasie(s)?,6,14.087153
1887,3,425920,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1887,3,425920,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1887,3,425920,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1887,3,425920,athétose,athetose,Athétose(s)?,0,0.0
1887,3,425920,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1887,3,425920,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
